hospital_count,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,Hospital Ownership,Hospital Type,State,County Name,ZIP Code
1,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Government - Federal,Critical Access Hospitals,MI,LENAWEE,49286
1,Not Available,Not Available,Not Available,Same as the national average,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,TN,BLEDSOE,37367
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,ND,ROLETTE,58367
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,TX,BEE,78102
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,OH,CLARK,45504
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,OK,KIOWA,73651
1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,TX,WEBB,78044
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,OH,SUMMIT,44307
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,UT,SALT LAKE,84020
1,Not Available,Not Available,Not Available,Not Available,Not Available,Proprietary,Critical Access Hospitals,TX,SCHLEICHER,76936
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,WA,WHITMAN,99163
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Proprietary,Acute Care Hospitals,TX,DALLAS,75218
1,Below the national average,Not Available,Below the national average,Not Available,Not Available,Proprietary,Acute Care Hospitals,PR,CAGUAS,725
1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Government - Hospital District or Authority,Acute Care Hospitals,GA,TROUP,30240
1,Same as the national average,Same as the national average,Not Available,Not Available,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,AZ,MARICOPA,85390
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,FL,HERNANDO,34601
1,Above the national average,Above the national average,Same as the national average,Above the national average,Not Available,Proprietary,Acute Care Hospitals,CA,SAN DIEGO,92118
1,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,CA,SACRAMENTO,95819
1,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,FL,PASCO,34652
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,FL,MONROE,33040
1,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,AL,MOBILE,36652
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,IROQUOIS,60970
1,Not Available,Not Available,Same as the national average,Same as the national average,Below the national average,Voluntary non-profit - Private,Critical Access Hospitals,KS,ANDERSON,66032
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,KS,JOHNSON,66215
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Other,Acute Care Hospitals,MD,BALTIMORE CITY,21215
1,Below the national average,Below the national average,Same as the national average,Below the national average,Not Available,Government - Local,Acute Care Hospitals,NY,NEW YORK,10016
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,NY,SAINT LAWRENCE,13676
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,OK,CREEK,74066
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,TN,HICKMAN,37033
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Not Available,Proprietary,Acute Care Hospitals,TN,SHELBY,38118
1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Government - Hospital District or Authority,Acute Care Hospitals,OK,CLEVELAND,73070
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,VA,WINCHESTER CITY,22601
1,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,TX,MONTAGUE,76255
1,Not Available,Not Available,Not Available,Same as the national average,Not Available,Government - Local,Critical Access Hospitals,NE,CHASE,69033
1,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Government - State,Acute Care Hospitals,NY,SUFFOLK,11794
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,PA,BRADFORD,18840
1,Same as the national average,Not Available,Below the national average,Same as the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,AL,PICKENS,35447
1,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,AL,JACKSON,35768
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Not Available,Proprietary,Acute Care Hospitals,CA,RIVERSIDE,92201
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Voluntary non-profit - Other,Acute Care Hospitals,FL,HERNANDO,34613
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,GA,BIBB,31201
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IN,ELKHART,46526
1,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,HI,HONOLULU,96813
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,IL,MERCER,61231
1,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,IA,JOHNSON,52245
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,LA,ASCENSION,70346
1,Same as the national average,Not Available,Not Available,Not Available,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,KS,KINGMAN,67068
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Other,Critical Access Hospitals,ID,BOUNDARY,83805
1,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Government - Local,Critical Access Hospitals,MI,ONTONAGON,49953
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MT,ROOSEVELT,59218
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Government - Local,Critical Access Hospitals,MS,COVINGTON,39428
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,TX,WICHITA,76301
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,VA,JAMES CITY,23185
1,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Church,Acute Care Hospitals,WV,CABELL,25702
1,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,WA,KITSAP,98310
1,Below the national average,Above the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,VT,LAMOILLE,5661
1,Same as the national average,Above the national average,Same as the national average,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,WI,GRANT,53813
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Voluntary non-profit - Other,Acute Care Hospitals,VA,WISE,24219
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,MADISON,62002
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,MT,CHOUTEAU,59442
1,Not Available,Not Available,Same as the national average,Not Available,Not Available,Government - Federal,Acute Care Hospitals,ND,ROLETTE,58316
1,Above the national average,Above the national average,Above the national average,Above the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,SC,GEORGETOWN,29576
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,TX,CHILDRESS,79201
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,VT,WINDHAM,5353
1,Not Available,Not Available,Same as the national average,Not Available,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,FL,MIAMI-DADE,33136
1,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,CO,MONTROSE,81401
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,FL,MADISON,32340
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,AZ,MARICOPA,85054
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,FL,HARDEE,33873
1,Same as the national average,Not Available,Not Available,Above the national average,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,GA,WILKES,30673
1,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Church,Acute Care Hospitals,IL,LAKE,60085
1,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IA,POTTAWATTAMIE,51503
1,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Government - Hospital District or Authority,Acute Care Hospitals,MO,CLAY,64069
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Proprietary,Acute Care Hospitals,MI,WAYNE,48235
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Church,Critical Access Hospitals,ND,WILLIAMS,58801
1,Same as the national average,Above the national average,Not Available,Not Available,Same as the national average,Government - Local,Critical Access Hospitals,OK,MURRAY,73086
1,Not Available,Not Available,Not Available,Not Available,Not Available,Proprietary,Acute Care Hospitals,TN,RUTHERFORD,37129
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,LACKAWANNA,18510
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Government - Local,Acute Care Hospitals,TN,MAURY,38401
1,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Government - State,Acute Care Hospitals,OK,OSAGE,74127
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,OH,CHAMPAIGN,43078
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,TX,HARDEMAN,79225
1,Not Available,Not Available,Same as the national average,Not Available,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,WA,CHELAN,98801
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Physician,Acute Care Hospitals,TX,HARRIS,77505
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,WA,PACIFIC,98624
1,Same as the national average,Above the national average,Same as the national average,Not Available,Same as the national average,Government - Hospital District or Authority,Critical Access Hospitals,CO,PITKIN,81611
1,Same as the national average,Below the national average,Same as the national average,Above the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,GA,JACKSON,30529
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,CO,MESA,81502
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,FL,INDIAN RIVER,32960
1,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,IA,SIOUX,51247
1,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Government - Local,Acute Care Hospitals,KY,HARDIN,42701
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Church,Critical Access Hospitals,IN,WARREN,47993
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,IN,CLARK,47130
1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,KY,FAYETTE,40509
1,Same as the national average,Not Available,Not Available,Not Available,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,KY,WAYNE,42633
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NY,SUFFOLK,11901
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,NV,WHITE PINE,89301
1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NJ,ESSEX,7102
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,MI,VAN BUREN,49079
1,Same as the national average,Below the national average,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,MO,LINCOLN,63379
1,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,MA,NANTUCKET,2554
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Proprietary,Acute Care Hospitals,TN,KNOX,37917
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,SC,DARLINGTON,29550
1,Below the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Church,Acute Care Hospitals,PA,ERIE,16509
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,RI,WASHINGTON,2891
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,OR,JOSEPHINE,97527
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Proprietary,Acute Care Hospitals,PA,CHESTER,19320
1,Same as the national average,Above the national average,Not Available,Not Available,Same as the national average,Voluntary non-profit - Church,Critical Access Hospitals,OH,CRAWFORD,44833
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,VA,PORTSMOUTH CITY,23707
1,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,WA,THURSTON,98506
1,Same as the national average,Same as the national average,Not Available,Not Available,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,NV,DOUGLAS,89410
1,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,MONTGOMERY,19096
1,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Proprietary,Acute Care Hospitals,PR,BAYAMON,961
1,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,WI,OZAUKEE,53024
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,CO,ADAMS,80229
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,CO,ARAPAHOE,80122
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,FL,JACKSON,32440
1,Not Available,Not Available,Not Available,Not Available,Not Available,Proprietary,Critical Access Hospitals,FL,UNION,32054
1,Same as the national average,Same as the national average,Same as the national average,Not Available,Not Available,Voluntary non-profit - Other,Acute Care Hospitals,CA,SACRAMENTO,95823
1,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,IL,COOK,60631
1,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,WINNEBAGO,61103
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,KS,BARTON,67526
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,LA,SAINT JAMES,70071
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - State,Critical Access Hospitals,LA,TANGIPAHOA,70443
1,Same as the national average,Same as the national average,Not Available,Not Available,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,IN,WHITE,47960
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Other,Acute Care Hospitals,MD,HARFORD,21014
1,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,ID,ELMORE,83647
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,KS,SHERMAN,67735
1,Not Available,Same as the national average,Same as the national average,Same as the national average,Not Available,Government - Local,Critical Access Hospitals,MN,PIPESTONE,56164
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,MO,SAINT LOUIS,63128
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,NH,ROCKINGHAM,3038
1,Below the national average,Below the national average,Same as the national average,Below the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,NY,QUEENS,11691
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,PA,ERIE,16407
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available,Proprietary,Acute Care Hospitals,NC,RICHMOND,28345
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,ND,WARD,58701
1,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,OH,SANDUSKY,44811
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,CARBON,18235
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,VA,ARLINGTON,22205
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,VA,BEDFORD,24523
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,WA,CLARK,98686
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Church,Acute Care Hospitals,WI,ONEIDA,54568
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,FL,BROWARD,33308
1,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Church,Acute Care Hospitals,CA,SANTA CLARA,95116
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,CA,LOS ANGELES,91325
1,Same as the national average,Below the national average,Same as the national average,Not Available,Not Available,Proprietary,Acute Care Hospitals,CA,KERN,93308
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,FL,HILLSBOROUGH,33613
1,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,GA,CHATHAM,31419
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Government - Hospital District or Authority,Acute Care Hospitals,AL,BALDWIN,36532
2,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,MD,BALTIMORE,21204
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,KY,CAMPBELL,41075
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,GA,BUTTS,30233
1,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Government - Local,Critical Access Hospitals,ID,BENEWAH,83861
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,MA,WORCESTER,1453
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Government - State,Acute Care Hospitals,NJ,ESSEX,7101
1,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,NE,DAWSON,69138
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MO,BARRY,65708
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,MO,JACKSON,64057
1,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NJ,SALEM,8318
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,MS,WARREN,39183
1,Same as the national average,Not Available,Not Available,Not Available,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,NY,SCHUYLER,14865
1,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,SC,RICHLAND,29203
1,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,NC,DAVIE,27028
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,VA,ACCOMACK,23417
1,Not Available,Same as the national average,Same as the national average,Not Available,Same as the national average,Government - State,Acute Care Hospitals,TX,DALLAS,75390
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,TX,RUNNELS,79567
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,VA,LANCASTER,22482
1,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Voluntary non-profit - Other,Critical Access Hospitals,NE,HOWARD,68873
1,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,AL,AUTAUGA,36067
1,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,AL,BIBB,35042
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,AZ,COCHISE,85603
1,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,KY,ROCKCASTLE,40456
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,MD,BALTIMORE,21237
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,MD,MONTGOMERY,20814
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Proprietary,Acute Care Hospitals,KY,CRITTENDEN,42064
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,MT,DANIELS,59263
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MS,NESHOBA,39365
1,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MN,BROWN,56087
1,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NY,MONTGOMERY,12010
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NJ,MONMOUTH,7754
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NH,STRAFFORD,3867
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,MN,NOBLES,56187
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Voluntary non-profit - Other,Acute Care Hospitals,PA,ADAMS,17325
1,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,OH,SHELBY,45365
1,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Government - Local,Critical Access Hospitals,WY,WASHAKIE,82401
1,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Proprietary,Acute Care Hospitals,TX,LIMESTONE,76667
1,Not Available,Same as the national average,Same as the national average,Same as the national average,Not Available,Proprietary,Acute Care Hospitals,TX,DALLAS,75235
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,UT,WEBER,84403
1,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,TX,HIDALGO,78503
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,WV,FAYETTE,25136
1,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,WI,WASHINGTON,53095
1,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Proprietary,Acute Care Hospitals,TX,HARRIS,77325
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Other,Acute Care Hospitals,VA,CULPEPER,22701
1,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,AL,WALKER,35502
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,AL,CULLMAN,35058
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,CO,MOFFAT,81625
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,FL,PINELLAS,34698
1,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,AR,PULASKI,72211
1,Not Available,Above the national average,Not Available,Not Available,Not Available,Physician,Acute Care Hospitals,IN,MARION,46278
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,IA,PALO ALTO,50536
1,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,LA,OUACHITA,71201
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,IL,CRAWFORD,62454
1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Government - Local,Acute Care Hospitals,IL,COOK,60612
1,Same as the national average,Not Available,Not Available,Above the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MI,OCEANA,49455
1,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,NH,COOS,3570
1,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,MA,HAMPDEN,1199
